512	100
ಀ	s	0.003859	0.003473	0.003922	0.003886	0.000647	0.004272	0.003195	0.003088	0.003382	-0.001677	0.001931	-0.001255	0.004720	-0.004843	-0.000964	0.001639	-0.000181	-0.003195	-0.004084	-0.004950	-0.003667	-0.002200	-0.003521	0.004760	0.004420	-0.004829	-0.002871	-0.000950	-0.003265	-0.001550	-0.003227	-0.001298	-0.001566	-0.000331	-0.003183	-0.003004	-0.002825	0.003359	0.001169	-0.000286	0.003113	-0.003450	-0.003767	-0.004863	-0.001095	-0.001225	0.000916	0.004046	-0.000294	0.002064	-0.003376	-0.000277	0.003174	0.000949	-0.002735	-0.002051	-0.000536	0.002461	-0.000757	-0.002995	0.001232	-0.003869	0.001465	-0.002328	0.003635	0.003990	-0.004662	0.003231	0.004329	0.000571	0.004767	-0.000535	0.003470	0.002903	-0.003841	0.004653	0.003715	0.000518	-0.001579	-0.000422	0.000219	-0.004552	0.002957	-0.002479	0.000640	0.002223	0.003676	0.004262	-0.004868	-0.002124	-0.003018	-0.001916	-0.003646	0.001936	0.001783	-0.000234	-0.000540	-0.003563	-0.000517	0.002592	
ಀ	b	0.002107	-0.004093	0.003991	0.002341	0.004451	-0.002620	0.001711	-0.002705	-0.000851	0.000386	0.001551	-0.001764	0.001357	-0.003043	0.004915	-0.001556	-0.001270	0.001623	-0.004288	0.003701	0.001426	0.001416	0.000346	0.002288	0.002101	-0.004133	-0.002275	0.004986	-0.004090	-0.002992	-0.000746	-0.004923	0.000510	-0.000631	-0.001161	-0.001658	-0.003942	-0.000017	0.002888	0.003062	-0.004791	-0.001621	0.000305	0.000018	0.003120	-0.003410	0.002498	0.002492	-0.002554	-0.000853	0.003373	-0.003736	-0.001655	0.003081	-0.000664	-0.000383	-0.001527	-0.002077	-0.000708	0.003331	0.002985	-0.004296	0.004649	0.000687	-0.000461	0.000956	-0.000687	-0.002532	-0.001711	0.000710	-0.000310	0.001953	0.001893	0.004498	0.004685	0.004925	-0.004493	0.004349	-0.004294	-0.000336	-0.003213	0.004797	-0.003341	0.001953	-0.004111	0.002871	0.003950	0.000071	-0.004530	-0.001897	-0.003515	0.004801	0.000685	0.002525	-0.004330	-0.000577	-0.000808	0.000668	-0.004588	-0.000281	
ಀ	e	0.001146	-0.000437	0.002116	0.003970	-0.000797	-0.001259	0.004690	0.002957	-0.001480	0.000233	0.004539	-0.000038	-0.003247	-0.001429	-0.004430	0.000766	0.004058	0.000786	0.004189	0.003650	0.003092	-0.003591	-0.000698	-0.000605	-0.000989	-0.002528	0.002315	0.001283	-0.000530	-0.001495	-0.002865	-0.004905	0.004627	-0.003460	0.000168	-0.000889	-0.002863	0.001109	0.000320	0.004115	0.002158	0.004242	-0.001003	0.003385	-0.002656	0.000470	0.000107	0.002705	0.002852	-0.003174	0.000053	0.000354	0.001339	0.002840	-0.002256	-0.002885	-0.002039	0.000543	0.004586	-0.003732	0.000374	0.004467	0.004484	0.003596	-0.001266	0.001643	0.003845	-0.002622	-0.004303	0.001602	0.001575	-0.001603	-0.003580	-0.003624	-0.000919	-0.000067	-0.001440	0.000495	0.000268	-0.002232	0.002271	0.000991	0.001543	0.000183	0.000211	-0.002605	0.001812	-0.002040	-0.002464	0.001739	0.002481	0.004379	0.001902	-0.001446	-0.002542	-0.004778	0.003465	0.004870	0.003147	-0.001230	
ಀ	m	0.004882	0.000220	-0.001545	-0.004196	0.001308	-0.003366	0.004789	-0.000394	0.000400	-0.001356	-0.003946	-0.004043	0.002315	0.003281	-0.001343	0.003137	-0.000292	0.000076	0.001504	0.001929	-0.002264	0.001061	-0.003998	-0.004386	0.004055	0.000766	-0.003944	-0.000027	-0.001179	-0.003777	-0.001927	0.003286	0.004691	-0.003037	0.000960	-0.003664	-0.003179	-0.004982	-0.003878	0.002404	0.002866	0.004919	-0.002535	-0.002730	0.002984	0.003696	0.001396	-0.000784	-0.000170	0.000882	-0.003178	-0.000976	-0.001439	-0.001493	-0.004853	-0.000025	-0.003167	0.001103	0.000280	-0.002151	0.004803	-0.004299	-0.001375	0.000928	-0.004874	0.001832	-0.000910	-0.000007	0.002958	0.001527	0.003080	-0.001673	-0.004043	-0.000682	0.004501	0.001709	0.004278	0.002236	-0.000240	-0.001579	0.000577	-0.000188	-0.002236	-0.000756	0.000012	0.004078	-0.000082	-0.002540	0.000237	-0.000435	0.000128	-0.001150	0.001409	0.003303	0.004802	0.001694	-0.003815	0.004825	0.002845	-0.003224	
ಁ	s	-0.000279	-0.003839	-0.004337	-0.002626	-0.000327	0.001842	-0.002838	-0.000728	-0.003803	-0.001099	0.003750	0.000750	0.001949	-0.003132	0.004331	0.002589	0.002087	-0.002225	0.000313	-0.001930	0.004265	-0.003848	-0.004398	0.002976	-0.001359	-0.000969	-0.003396	-0.004414	-0.002130	-0.004057	0.002224	-0.003317	-0.002891	-0.001080	0.003871	-0.000453	0.004014	0.002492	-0.004552	-0.000040	-0.001259	0.003691	0.003364	-0.003796	0.003947	0.002049	-0.003476	-0.000942	0.004787	-0.000404	-0.003666	0.001806	-0.001082	0.000863	-0.003299	0.000227	-0.003503	0.002883	0.004030	0.002603	0.000179	-0.004814	-0.002771	-0.000285	-0.004879	-0.000197	-0.002296	0.004845	-0.001021	0.001266	-0.000641	0.003774	0.001910	-0.003394	-0.001397	0.004783	-0.003431	-0.004646	0.004341	-0.001347	-0.001888	-0.000458	-0.002021	-0.001334	0.004197	0.003700	0.003424	0.000603	0.004979	0.004861	-0.002918	0.002744	0.003114	0.002554	-0.002141	-0.004128	0.003759	-0.001188	-0.002838	0.003268	
ಁ	b	0.004570	-0.001834	-0.001104	0.000712	-0.004296	-0.002354	-0.000533	-0.003513	-0.000184	-0.003215	-0.002216	0.001373	0.002062	-0.002387	-0.004750	-0.001349	0.000100	0.004662	-0.004227	0.004104	0.004085	0.004963	-0.004241	-0.003989	-0.003326	-0.001953	0.004114	-0.004845	0.003022	-0.004054	0.002245	0.004816	0.000786	0.003190	0.004057	0.000776	0.000123	-0.003189	-0.004043	0.001316	0.003688	-0.003659	-0.003149	-0.002782	-0.003362	0.003810	-0.001855	0.001762	-0.003372	0.003749	0.003747	0.000730	0.003817	0.003191	0.000061	0.002402	0.000858	0.001665	-0.004006	-0.002438	0.002910	0.001205	0.002953	-0.000511	-0.002373	-0.003660	0.004843	0.003964	-0.004833	0.004101	-0.001929	-0.000730	-0.001815	0.004021	0.001543	-0.003813	0.001838	-0.001869	-0.003334	-0.002003	0.003782	0.000961	-0.002655	0.000480	0.004173	-0.000457	-0.000013	0.001919	-0.004332	0.003409	0.003499	0.003094	0.003422	0.004588	-0.000714	-0.002713	-0.004907	-0.002386	0.001254	0.000278	
ಁ	e	0.000836	-0.000484	-0.004190	0.000349	0.003307	-0.000173	0.001861	-0.001718	-0.002337	0.000577	0.000811	-0.002643	0.001560	-0.003702	-0.003431	0.003356	-0.004846	0.004021	-0.004461	0.004561	0.001102	0.003277	-0.003371	0.001751	0.004560	-0.003903	0.001244	-0.001791	0.003184	-0.002987	0.003290	-0.000284	-0.002870	0.003056	-0.000826	0.004553	-0.000946	0.003758	-0.002197	0.003502	0.004113	0.001149	0.000582	-0.000157	-0.000037	-0.000240	0.001418	-0.000643	-0.003239	-0.003377	-0.003284	0.000327	-0.002838	0.001270	-0.004616	0.003533	-0.003677	-0.004269	-0.001173	0.002257	0.001899	0.004538	0.000951	0.002280	0.004048	0.004722	-0.001836	0.001882	-0.004574	-0.004187	-0.000630	0.001846	0.001188	-0.000155	-0.004023	-0.004547	-0.001008	0.001347	0.001891	-0.001517	-0.001008	-0.002649	0.003518	-0.000781	0.003846	-0.002612	-0.000237	-0.001559	-0.001290	0.003490	0.002035	-0.000570	0.001240	0.000187	0.004237	-0.002032	0.001592	0.004512	0.002778	0.002337	
ಁ	m	-0.047805	-0.035118	0.011759	0.010281	-0.058870	0.001775	-0.001603	-0.010599	0.006486	-0.001850	-0.012452	-0.002094	0.033578	-0.053716	-0.084667	-0.052546	0.023102	0.089555	-0.002835	0.006372	-0.051618	0.001500	0.009222	-0.060656	-0.007144	-0.012675	0.020810	-0.017177	-0.041533	0.020419	-0.089322	0.004807	0.005199	-0.042949	0.031476	-0.002226	-0.006407	0.046209	0.011782	0.030387	0.043691	-0.017335	0.005054	-0.041634	-0.030067	0.035476	0.016188	0.034251	-0.042142	0.058314	0.024504	-0.009306	0.051160	-0.048808	0.035580	-0.021728	0.040185	0.034710	-0.013079	0.055020	0.009249	0.004872	0.010563	-0.037589	-0.031605	0.065307	0.008938	0.015045	-0.014799	0.082425	0.056660	-0.015718	-0.069459	-0.022463	-0.009629	-0.014354	0.005758	-0.025577	-0.000925	0.061757	0.045796	-0.043988	-0.013540	-0.007193	0.025205	-0.013634	0.006635	-0.038981	0.116609	-0.149634	-0.065799	0.100100	0.021611	0.012188	-0.013196	0.000022	0.003955	-0.011824	0.018989	-0.008813	
ಂ	s	-0.004261	-0.004120	0.003810	-0.000856	0.001355	-0.001055	0.000036	-0.003763	0.004168	0.001511	-0.003025	-0.003965	-0.003165	0.003111	0.003533	-0.000680	0.004511	-0.004225	0.001117	-0.000629	0.004854	0.004035	0.003632	0.001972	-0.001982	0.004922	-0.002515	-0.004597	-0.003339	-0.002033	0.001582	0.000445	-0.004061	-0.004799	-0.002670	0.000380	0.003508	0.001156	-0.001366	0.000988	-0.000475	0.002864	0.001902	0.000552	-0.003356	-0.000146	-0.003962	-0.000148	0.000024	0.004159	0.002450	0.002169	-0.002681	0.000309	-0.004957	0.003286	-0.001313	-0.004663	0.000224	0.001482	-0.003217	-0.001228	-0.003100	-0.002460	-0.003235	0.002648	-0.003524	0.004740	-0.003713	0.001493	0.002858	-0.001136	-0.004494	0.002341	0.002453	-0.001806	-0.002921	0.004722	0.004168	0.003509	-0.003839	0.000668	-0.000592	-0.001908	0.000410	0.004709	0.002079	-0.002276	-0.000019	0.003877	-0.001411	0.000686	-0.002469	-0.002297	-0.002158	-0.002240	-0.001785	-0.001781	0.001246	0.002225	
ಂ	b	-0.000310	-0.000045	0.002707	-0.000135	0.002112	-0.000056	-0.001370	-0.001040	-0.001862	-0.002285	-0.002077	0.000291	0.002924	-0.004699	0.001991	-0.002860	0.004126	-0.002767	0.004740	-0.004712	0.001900	0.000542	0.002578	0.003015	-0.001097	0.004759	0.004409	0.001104	0.000290	0.001915	0.001642	0.002836	0.003718	-0.003458	-0.001820	0.003991	-0.000656	-0.004329	0.000432	0.002852	-0.000177	-0.001167	-0.002697	0.000199	0.000312	-0.001940	0.000199	-0.000687	-0.001533	-0.002117	0.003026	-0.004024	0.004444	-0.004668	0.002192	-0.001531	0.000900	-0.000061	-0.003398	-0.002426	0.002990	0.003736	-0.002338	-0.003429	-0.001628	0.001254	-0.000721	0.001242	-0.002800	-0.000476	-0.002141	-0.000132	0.002133	-0.001923	0.002307	0.003231	-0.001675	-0.001056	0.004032	0.004611	0.003433	-0.003343	-0.003062	-0.000210	-0.002387	-0.001753	-0.002569	-0.002952	0.003522	0.003245	0.004419	-0.002831	-0.003685	0.003683	-0.000692	0.003432	0.003650	0.004091	-0.003997	0.001618	
